Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
22344325009,"Solar fan 12-14-16 inch desktop fan (with two LED bulbs), outdoor camping home fan, solar charging dual-purpose fan, USB charging fan, high-power energy-saving fan, high endurance multifunctional electric fan Long standby silent air circulation machine",788,2K+,FLBTenyeardepartmentstore.ph-4,20%,₱157.60,https://shopee.ph/product/1008702939/22344325009,https://s.shopee.ph/30k12YV5mg
43053197352,BLUETTI AC70 Portable Power Station 768Wh 1000W LiFePO4 Battery Solar Generator for Emergency Backup,36.0K,97,BLUETTI,15%,"₱5,399.85",https://shopee.ph/product/987274121/43053197352,https://s.shopee.ph/3B3RErUSRj
24964196598,6 In 1 Combo Heat Press Machine Flatbed Cap(T-Shirt Press/Plate Press/Mug Press/Cap Press),6.0K,250,Climbing compasses,4%,₱239.96,https://shopee.ph/product/641657933/24964196598,https://s.shopee.ph/4fsF1cOkP2
27376794933,V380 Three Lens 4G SIM Solar CCTV Camera Outdoor Waterproof Auto Tracking No Lighting Required,1.9K,5K+,V380 PRO SMART CCTV,10%,₱189.80,https://shopee.ph/product/903869489/27376794933,https://s.shopee.ph/4qBfDvO745
55104186210,Gold Star 16 Inch Solar Fan Powerful Electric Fan Wall Fan Multifuction Stand Fan Rechargeable Fan,789,355,Goldstar,11%,₱86.79,https://shopee.ph/product/502074461/55104186210,https://s.shopee.ph/50V5QENTj8
26661068937,Solar inverter SNAT 1KW 12V Wall Mounted Off Grid Inverter Authentic SNAT inverter,9.9K,21,xaraxa,8%,₱788.00,https://shopee.ph/product/233408740/26661068937,https://s.shopee.ph/5AoVcXMqOB
43200932495,"10PCS EasyWrite PadPaper Grade1234 Intermidiate,1/2,1/4 Length&Crosswise Quiz Pad80Lvs(Random Brand)",65,4K+,lilywatch.com.ph,5%,₱3.25,https://shopee.ph/product/163500887/43200932495,https://s.shopee.ph/40cYEORHky
26912007485,Deep Fryer Electric Pan With Strainer Electric Deep Fryer Stainless Steel Deep Frying Pan..,1.7K,1K+,PHILIPH 777s,15%,₱254.85,https://shopee.ph/product/520169265/26912007485,https://s.shopee.ph/4AvyQhQeQ1
22000305431,GoldStar 2026Upgrade Stand Fan Electric fan 16Inch Electric Fan Stand Fan And Wall Fan Energy-Saving,789,10K+,Goldstar,11%,₱86.79,https://shopee.ph/product/502074461/22000305431,https://s.shopee.ph/4LFOd0Q154
42370306252,Tranyoo F28 Powerbank 100000mAh Ultra-Large Capacity LED Lights Power Bank 22.5W Super Fast Charging,2.6K,3K+,Tranyoo Official Store,7%,₱179.13,https://shopee.ph/product/305389279/42370306252,https://s.shopee.ph/4VYopJPNk7
