Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
26638701192,Sweet Mesh Tulip Ribbon Bow New Large Scrunchie Girl's Hair Tie Hair Accessories,24,6K+,Atta Fashion Accessories,6%,₱1.44,https://shopee.ph/product/661905983/26638701192,https://s.shopee.ph/7Kt0Cr4OW6
17488988416,[AC] 3 in 1- Free Engraved Name Wedding Rings with Free Engagement Ring Set - Plain ✨,999,6K+,Aaron Charles ✨,17%,₱169.83,https://shopee.ph/product/482349329/17488988416,https://s.shopee.ph/7VCQPA3lB9
53153935814,PURESEEK Square Sunglasses 2PCS Buy One Take One Black Frame UV400 Protection,69,3K+,Pureseek Glasses,12%,₱8.28,https://shopee.ph/product/1711285545/53153935814,https://s.shopee.ph/5fkmDnAjto
22933361612,Wide Brim Bowknot Ribbon Beach Hat Ladies Summer Outdoor Sunshade Summer Hat Cap of Women,105,10K+,7BKshop,6%,₱6.30,https://shopee.ph/product/682207435/22933361612,https://s.shopee.ph/5q4CQ6A6Yr
18005748614,Korean Style Hair Clamp Cute Bow Hair Clip with Tassels Pearl Hair Claw for Women,30,10K+,E&S Accessories Store,10%,₱3.00,https://shopee.ph/product/527215582/18005748614,https://s.shopee.ph/5L7vpBC0Zm
3317524816,Acesh 12 Pcs Cotton Lady Handkerchief panyo Style SP02,108,10K+,Acesh.shop,10%,₱10.80,https://shopee.ph/product/221504758/3317524816,https://s.shopee.ph/5VRM1UBNEp
15052381363,Sunnies Studios Bobbi (Square Fashion Sunglasses Shades for Men and Women),1.5K,4K+,Sunnies Studios,12%,₱179.40,https://shopee.ph/product/126213861/15052381363,https://s.shopee.ph/6L0T118CY0
19919838263,17 colors basic plain cap for men solid color baseball cap for woman korean cap dad hat,159,5K+,casual_boutique.ph,12%,₱19.08,https://shopee.ph/product/233678612/19919838263,https://s.shopee.ph/6VJtDK7ZD3
28559195338,Hairband with Air Bangs Natural Invisible Front Hair Fringe Headband for Daily Use,107,2K+,shop1.mart,10%,₱10.70,https://shopee.ph/product/730459400/28559195338,https://s.shopee.ph/60NccP9TDy
27113949597,"Hip Hop Neck Scarf,High quality color printed headscarf,Fashionable and good-looking",15,10K+,Certain.PH,4%,₱0.60,https://shopee.ph/product/1378405325/27113949597,https://s.shopee.ph/6Ah2oi8pt1
23876420892,"{reading glasses} metal semi-metal semi-frame new anti-blue reading glasses, translucent varnish for",109,10K+,ZHEN HE,12%,₱13.08,https://shopee.ph/product/210097075/23876420892,https://s.shopee.ph/4LFOdLFobg
24065428409,9nine Fashion Sport Sun Visor Summer Hat Sun Hat Unisex,35,5K+,9nine.shop,8%,₱2.80,https://shopee.ph/product/556608445/24065428409,https://s.shopee.ph/4VYopeFBGj
57850368818,"Motorcycle Gloves,Anti-Slip Breathable Half Finger Wear-Resistant Fall-Proof Riding Gloves",165,1K+,NOVA LADY,10%,₱16.50,https://shopee.ph/product/1609011046/57850368818,https://s.shopee.ph/40cYEjH5He
23419174875,Scarf long shawl bandana  imitation cashmere thick polyester beach for woman Plain fashion Unisex,95,10K+,WD.SPORT.PH,5%,₱4.75,https://shopee.ph/product/74274774/23419174875,https://s.shopee.ph/4AvyR2GRwh
